beta,rho_mc,rho_mmca
0.0,0.0,1.2680659735136777e-07
0.01,0.0,1.647652367396133e-07
0.02,0.0,0.003294117806065566
0.03,0.0026623999999999997,0.0615952094934482
0.04,0.10385080000000001,0.13358087929650708
0.05,0.17590079999999997,0.20431184333975308
0.06,0.2368224,0.26793664578584003
0.07,0.2930656000000001,0.3233406825150173
0.08,0.3424148,0.3711237031897429
0.09,0.387381,0.41234766089277813
0.1,0.4253818000000001,0.44807748177177587
0.11,0.45870039999999995,0.47924082439142424
0.12,0.4887807999999999,0.5066049445593812
0.13,0.5146786,0.530792611160128
0.14,0.5370192,0.5523068663273701
0.15,0.5587757999999999,0.5715547291438939
0.16,0.5770601999999998,0.5888672498179606
0.17,0.5939239999999999,0.6045154409171477
0.18,0.6097322,0.6187228001442656
0.19,0.6235358000000001,0.6316749786438103
0.2,0.6357302,0.6435272998112901
0.21,0.6484054,0.6544106462936372
0.22,0.6585681999999999,0.6644359577273528
0.23,0.6679482,0.673697931840254
0.24,0.6775805999999998,0.6822778231818714
0.25,0.6859955999999999,0.6902457720750086
0.26,0.6938525999999997,0.6976626082240179
0.27,0.7010646,0.7045813322912288
0.28,0.7078049999999999,0.7110483861678842
0.29,0.7141649999999996,0.7171045493745579
0.3,0.7207778,0.7227858638231327
