beta,rho_mc,rho_mmca
0.0,0.0,6.69024408372847e-08
0.01,0.0,7.44150936845211e-08
0.02,0.0,8.702185280103017e-08
0.03,0.0,8.464721209430816e-08
0.04,0.0,1.2302027759061786e-07
0.05,0.0,1.6913372773010624e-07
0.06,0.0,3.0492303189525807e-07
0.07,0.0,1.0381563324544872e-06
0.08,0.0,0.03180713086554088
0.09,0.0,0.08773888360825273
0.1,0.0350826,0.13857385470895867
0.11,0.11619020000000002,0.18390592846713505
0.12,0.1675934,0.2241672562797347
0.13,0.21183680000000002,0.2599641568768611
0.14,0.24923659999999995,0.29189075115882035
0.15,0.28252700000000003,0.3204769214244956
0.16,0.3138006,0.34617890311171284
0.17,0.3414673999999999,0.36938369225453976
0.18,0.36542680000000005,0.3904178208646707
0.19,0.3887548,0.40955661041948005
0.2,0.4079642,0.4270327182108572
0.21,0.4261427999999999,0.4430434556408141
0.22,0.4443249999999999,0.45775688392370223
0.23,0.45850879999999994,0.47131683805058217
0.24,0.4731435999999999,0.4838470053253296
0.25,0.4858708,0.49545424800336046
0.26,0.4988304000000002,0.5062313237570394
0.27,0.5095618000000003,0.5162590948821751
0.28,0.5191234,0.5256083538906897
0.29,0.5291042000000001,0.5343413261046229
0.3,0.5375902000000001,0.542512916366613
